epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,19254.5,0.99838,1.25827,1.17056,0.76613,0.77792,0.81773,0.55869,1.08089,1.16337,1.25835,0.0044056,0.0044056,0.0044056
86,19489.3,0.99288,1.24922,1.16762,0.76467,0.77941,0.81804,0.55864,1.08044,1.16283,1.25784,0.004339,0.004339,0.004339
87,19724.7,0.99404,1.2553,1.17024,0.76677,0.77744,0.81792,0.55839,1.08016,1.16245,1.25767,0.0042724,0.0042724,0.0042724
88,19959.7,0.98874,1.24756,1.16962,0.76585,0.77958,0.81798,0.55872,1.08008,1.16151,1.25765,0.0042058,0.0042058,0.0042058
89,20189.2,0.99172,1.25368,1.17059,0.76639,0.78101,0.81797,0.55919,1.07968,1.16095,1.25713,0.0041392,0.0041392,0.0041392
90,20414.2,0.98454,1.23682,1.16592,0.76727,0.77941,0.8179,0.55933,1.07906,1.15994,1.25659,0.0040726,0.0040726,0.0040726
91,20640.9,0.99076,1.24813,1.16697,0.76722,0.77968,0.81857,0.55967,1.07912,1.15934,1.25663,0.004006,0.004006,0.004006
92,20869,0.98597,1.23586,1.16715,0.76768,0.77992,0.81828,0.55929,1.07893,1.15891,1.2565,0.0039394,0.0039394,0.0039394
93,21097.5,0.98192,1.22349,1.16189,0.76789,0.77985,0.81853,0.55971,1.07857,1.15838,1.25626,0.0038728,0.0038728,0.0038728
94,21323.1,0.9872,1.23495,1.1665,0.7669,0.78175,0.81869,0.56021,1.07848,1.15821,1.25618,0.0038062,0.0038062,0.0038062
95,21557.1,0.98086,1.22927,1.16369,0.76748,0.78235,0.81869,0.56028,1.0783,1.15751,1.25612,0.0037396,0.0037396,0.0037396
96,21791.1,0.97515,1.20901,1.15934,0.76685,0.78259,0.81851,0.56016,1.07798,1.15726,1.25596,0.003673,0.003673,0.003673
97,22019.7,0.97543,1.21975,1.15952,0.76547,0.78365,0.81828,0.55998,1.07751,1.15697,1.25541,0.0036064,0.0036064,0.0036064
98,22245.7,0.97686,1.22214,1.16038,0.76561,0.78203,0.8183,0.56018,1.07723,1.15623,1.25518,0.0035398,0.0035398,0.0035398
99,22474.4,0.97415,1.21823,1.1609,0.76798,0.78089,0.81838,0.56016,1.07667,1.15607,1.25484,0.0034732,0.0034732,0.0034732
100,22708.6,0.97172,1.21218,1.15711,0.77021,0.77976,0.8189,0.5606,1.07687,1.15493,1.25495,0.0034066,0.0034066,0.0034066
101,22937.3,0.97201,1.20645,1.15535,0.76986,0.77934,0.81871,0.56058,1.07679,1.15476,1.25477,0.00334,0.00334,0.00334
102,23170.7,0.96526,1.20077,1.15495,0.7717,0.77992,0.81934,0.56073,1.07652,1.15389,1.25453,0.0032734,0.0032734,0.0032734
103,23406.7,0.96773,1.20382,1.15409,0.7741,0.77725,0.81904,0.56059,1.07648,1.15339,1.25429,0.0032068,0.0032068,0.0032068
104,23629.4,0.96882,1.20264,1.15336,0.77453,0.77837,0.81919,0.56085,1.07614,1.15234,1.25393,0.0031402,0.0031402,0.0031402
105,23853.4,0.96358,1.19749,1.14997,0.77547,0.77761,0.81918,0.56109,1.07576,1.1518,1.25357,0.0030736,0.0030736,0.0030736
